e.g. NC_MudCreek,YYYY-MM-DD,Meters upstream of logger array,The width of the water surface at the time of measurement,"The units used for width (m, ft)",The depth at the time of measurement,"The units used for depth (m, ft)",The velocity at the time of measurement,"The units used for velocity (m s-1, ft s-1)",Any notes about the measurement
siteID,date,transect,width,width_unit,depth,depth_unit,velocity,velocity_unit,notes
