site,coverage_start,coverage_end
FL_ICHE2700,2016-11-04,2017-11-09
FL_SF2500,2016-07-28,2017-08-08
FL_SF2800,2016-11-04,2017-08-24
FL_WS1500,2017-01-04,2017-08-09
