e.g. NC_MudCreek,YYYY-MM-DD,Meters upstream of logger array (negative for downstream; OR supply coordinates; ideally there should be 100 measurements per transect),Length of the intermediate axis of a grain (rock fragment of any size) from the bottom of the channel (millimeters),Any notes about these measurements
siteID,date,transect,grain_size_mm,notes
