e.g. NC_MudCreek,YYYY-MM-DD,Meters upstream of logger array (ideally there should be 100 measurements per transect),Number of pebbles counted,"Units for grain size (mm, cm)",Length of the intermediate axis of a stone from the bottom of the channel,Any notes about these measurements
siteID,date,transect,pebble_count,grain_size_unit,grain_size,notes
